"id";"text"
"1002285684277760000";"RT @JesseLahtela: @zackwhittaker @PumpUp Happy #GDPR! Yes it applies to all companies if EU citizens info is stored. This would be awesome…"
"1002285681333407744";"GDPR Becomes Reality, Consumer Data Becomes Global
https://t.co/J6J1wSNde4 https://t.co/WU85lNo61v"
"1002285681249607680";"GDPR was just came into Effect in EU less than week ago.
But it looks like Indian Government is thinking GDPR stand… https://t.co/uQpfR7LmjE"
"1002285678980452353";"Worried about #GDPR &amp; how it will affect your #Marketing? Don’t!! #PrintedMarketing could help you succeed in a… https://t.co/qkGcfhkFHa"
"1002285668540780545";"RT @iotatoken: The IOTA Foundation and Norway's biggest bank DNB teams up to explore the potential of Economy of Things and myData

https:/…"
"1002285659133014016";"RT @larsmb: Could industry fix this aspect? Expand DNT, honor it, and only show expanded disclaimers if not set? #DSGVO #GDPR"
"1002285645266669570";"RT @larsmb: I mean, seriously. We should have expanded &amp; made honoring Do Not Track mandatory and strengthened consumer rights for cookie/a…"
"1002285644981395456";"RT @JJDanceN1: FB &amp; Google <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>, accused of breaking nu GDPR data privacy law

https://t.co/UwJK1sNu2Z
<U+274C>”GDPU FB &amp; Google’s “General Data Prot…"
"1002285639444840449";"GDPR compliance checklist 2018, Must read for internet business owners. https://t.co/cyt06DVsBN @99tests #GDPRready #GDPR #ComplianceDay2018"
"1002285622927675392";"RT @TheRegister: Got a feeling that emailing a privacy policy update with 500+ customers CC'd for all to see might just haunt Ghostery.

Ha…"
"1002285617051590661";"RT @AccountingWEBuk: What have accountants done for GDPR, and what should they do to stay compliant? @AWebTom speaks to @AnnabelKaye @Portt…"
"1002285550567555077";"RT @Fisher85M: What are 12 Critical Capabilities of Gartner's Adaptive #Security Architecture? {Infographic}

#CyberSecurity #strategy #pri…"
"1002285516459520001";"RT @IntelisysCorp: GDPR Deadline Is Here: Are You Ready? https://t.co/OuiTQn2FZT - via @Channel_Online @EdwardGately"
"1002285501565620224";"Hubcast 178: What’s on Marcus’ Mind, Slack Integration, &amp; More GDPR https://t.co/A7dzh18lWB via @CGDuffyDesigns"
"1002285484649918466";"RT @2morrowknight: Google and Facebook will be the big winners of #GDPR changes... Excellent thread below on this topic. Really good! {#Big…"
"1002285452764860416";"hey @slashdot, if i sometimes accept and sometimes do not accept the GDPR banner you display EVERY TIME i visit you… https://t.co/vbvkhEcY0r"
"1002285451733012481";"RT @LEOLouth: Full house this evening for GDPR- The New Legislation Workshop in @CreativeSparkie with @robtecsolutions practical and inform…"
"1002285446536286215";"RT @DIGITALEUROPE: We are joining associations from across Europe &amp; from many industries in asking Council to continue #ePrivacy discussion…"
"1002285433206788096";"RT @MASERGY: #Security experts weigh in on #GDPR checklists https://t.co/xQHqMNl8ur #Privacy #Infosec https://t.co/0ahCPTn6Ka"
"1002285433135525888";"RT @justinmclachlan: Has anyone had success accessing data from apps under the GDPR? Whatsapp has an automated feature — it took 3 days for…"
"1002285403783737344";"What are the tasks of a #DataProtectionOfficer under #EUGDPR? Infographic explains https://t.co/eQO9qifdm8 #GDPR… https://t.co/6yUnr3prhc"
"1002285388889763840";"@WieEinFuchs So good. The best thing GDPR will do is provide endless  fodder for stuff like this."
"1002285386947674112";"RT @aallan: Attempted to read a @Forbes piece. Hit their new #GDPR popup, decided to investigate. This is their list of ""required cookies""…"
"1002285375371599872";"last week: IF YOU DON'T CLICK THIS BUTTON WE'RE REMOVING YOU FROM OUR LIST BECAUSE GDPR

&lt;immediately deletes email… https://t.co/lO96GwJh0u"
"1002285364625764352";"How the GDPR Will Affect Digital Marketing https://t.co/rH8RWsW03u #digital"
"1002285360435605506";"RT @rulermarketing: GDPR: ICO publishes new guidance on legitimate interests – what you need to know https://t.co/4vp6AsBHyD via @marketing…"
"1002285357910589442";"RT @CollectionTrust: We're drawing up some guidance for museum collections, following the GDPR &amp; Data Protection Act 2018, and we'd like yo…"
"1002285352521027585";"RT @wakest omg #NPR now has a text only version, not even any css. thanks #gdpr https://t.co/RrFBr8NTIk"
"1002285345113825280";"RT @EmmasSoyCandles: Theres a great #louthchat turnout at the  @LEOLouth #GDPR workshop tonight in @CreativeSparkie @boyneboats @DamianClar…"
"1002285344732172288";"RT @TechCrunch: Telegram is claiming Russian authorities ordered Apple to remove their app for the App Store https://t.co/IMvpHXzy0z"
"1002285343025090560";"Questions about what #GDPR might mean for you? We're LIVE with Cisco's Chief Privacy Officer @MDennedy to discuss e… https://t.co/PqB2pvD0SE"
"1002285341473148928";"GDPR: What You Need To Do To Ensure Compliance https://t.co/X85xDwpgDA #GDPRCompliant #DigitalMarketing… https://t.co/uMqeE6vs14"
"1002285335747940352";"#Facebook, #Pinterest, #Instagram - you name it, they all made changes in May. If you're not familiar with the most… https://t.co/DGQYBqlRfG"
"1002285286695424000";"These companies are getting killed by GDPR https://t.co/wAojzemdtv"
"1002285285814685696";"Op Ed: Five Things Blockchain Firms Need to Know About the GDPR https://t.co/lsQXPsBZ2G"
"1002285270664916994";"I have an email from the Knicker Ladies. Not sure GDPR is working to spec."
"1002285264780349441";"This is not getting enough attention. 

While we were all distracted by GDPR #Article13 took another step towards e… https://t.co/C77qGyDIhG"
"1002285262389395456";"RT @johnbattelle: As I pointed out in my last piece, the unintended consequences of GDPR... https://t.co/X8TrE1atCR"
"1002285260938211329";"Enough of this retarded GDPR...
Now I need to use a VPN to check most of the US news sites, I check almost every da… https://t.co/JDHhx6Dsjr"
"1002285246283505665";"Five Things Blockchain Firms Need to Know About the GDPR - https://t.co/sHByHF4Vz0 - Generate Bitcoin. Take your free Bitcoin"
"1002285242269552640";"RT @chootchyface: That GDPR data malarkey the EU forced on everyone...

Brussels says new GDPR law DOESN’T apply to EU - after 'embarrassin…"
"1002285226016489473";"RT @ow: Just add ""?guccounter=2"" to the end of any Techcrunch/Oath URL and boom, no tracking or ads thanks to GDPR <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>"
"1002285195305758720";"RT @fr3ino: Because of #GDPR, USA Today decided to run a separate version of their website for EU users, which has all the tracking scripts…"
"1002285185822474240";"Google and Facebook will be the big winners of #GDPR changes... Excellent thread below on this topic. Really good!… https://t.co/BHS7FJH98U"
"1002285185088532480";"RT @PMCPhilWalsh: #100DaysOfCode R2D17 added bcryptjs library to my todo api application.  really cool easy hash function to encrypt your d…"
"1002285182022545408";"RT @TR_AFRICA: Panel Says: Firms Need to Deal with Country-Implementation of Privacy Rules on Top of GDPR https://t.co/Q3N3eY9TVL https://t…"
"1002285181661741057";"Verdens hurtigste makulator - #GDPR Compliant shredder! https://t.co/zlGAud2cdD #Modded"
"1002285173508067329";"I’m so sat at my desk working late with a glass of wine #GDPR #LateNights"
"1002285141048225792";"How close are you watching the changes coming with #GDPR? #Business #Internet"
"1002285128612270080";"GDPR compliance and Blockchain - TechRadar https://t.co/9p2E7Y0sLO https://t.co/UugVMVbA3S #fintech"
